"Time","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor1/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}"
2026-08-11 07:24:39,1422,,
2026-08-11 07:24:39,1212,,
2026-08-11 07:24:39,436,,
2026-08-11 07:24:40,558,,
2026-08-11 07:24:41,561,,
2026-08-11 07:24:42,559,,
2026-08-11 07:24:43,564,,
2026-08-11 07:24:44,534,,
2026-08-11 07:24:46,756,,
2026-08-11 07:24:47,717,,
2026-08-11 07:24:48,715,,
2026-08-11 07:24:49,718,,
2026-08-11 07:24:50,714,,
2026-08-11 07:24:51,709,,
2026-08-11 07:24:52,714,,
2026-08-11 07:24:53,713,,
2026-08-11 07:24:54,711,,
2026-08-11 07:24:55,712,,
2026-08-11 07:24:56,714,,
2026-08-11 07:24:57,706,,
2026-08-11 07:24:58,712,,
2026-08-11 07:24:59,709,,
2026-08-11 07:25:00,854,,
2026-08-11 07:25:01,739,,
2026-08-11 07:25:02,771,,
2026-08-11 07:25:03,714,,
2026-08-11 07:25:04,708,,
2026-08-11 07:25:05,708,,
2026-08-11 07:25:06,723,,
2026-08-11 07:25:07,710,,
2026-08-11 07:25:08,721,,
2026-08-11 07:25:09,608,,
2026-08-11 07:25:10,696,,
2026-08-11 07:25:12,688,,
2026-08-11 07:25:12,568,,
2026-08-11 07:25:14,617,,
2026-08-11 07:25:14,567,,
2026-08-11 07:25:16,563,,
2026-08-11 07:25:17,563,,
2026-08-11 07:25:18,564,,
2026-08-11 07:25:19,734,,
2026-08-11 07:25:20,561,,
2026-08-11 07:25:21,763,,
2026-08-11 07:25:22,559,,
2026-08-11 07:25:23,701,,
2026-08-11 07:25:24,573,,
2026-08-11 07:25:25,690,,
2026-08-11 07:25:26,549,,
2026-08-11 07:25:27,570,,
2026-08-11 07:25:28,553,,
2026-08-11 07:25:29,571,,
2026-08-11 07:25:30,550,,
2026-08-11 07:25:31,565,,
2026-08-11 07:25:32,574,,
2026-08-11 07:25:33,563,,
2026-08-11 07:25:34,547,,
2026-08-11 07:25:35,568,,
2026-08-11 07:25:36,542,,
2026-08-11 07:25:37,589,,
2026-08-11 07:25:39,577,,
2026-08-11 07:25:40,592,,
2026-08-11 07:25:41,573,,
2026-08-11 07:25:42,592,,
2026-08-11 07:25:43,573,,
2026-08-11 07:25:44,499,,
2026-08-11 07:25:45,575,,
2026-08-11 07:25:46,622,,
2026-08-11 07:25:47,575,,
2026-08-11 07:25:48,592,,
2026-08-11 07:25:49,572,,
2026-08-11 07:25:50,630,,
2026-08-11 07:25:51,577,,
2026-08-11 07:25:52,597,,
2026-08-11 07:25:53,577,,
2026-08-11 07:25:54,609,,
2026-08-11 07:25:55,572,,
2026-08-11 07:25:56,590,,
2026-08-11 07:25:57,567,,
2026-08-11 07:25:58,594,,
2026-08-11 07:25:59,578,,
2026-08-11 07:26:00,603,,
2026-08-11 07:26:02,635,,
2026-08-11 07:26:02,594,,
2026-08-11 07:26:04,577,,
2026-08-11 07:26:05,594,,
2026-08-11 07:26:06,572,,
2026-08-11 07:26:07,591,,
2026-08-11 07:26:08,569,,
2026-08-11 07:26:09,594,,
2026-08-11 07:26:10,568,,
2026-08-11 07:26:11,602,,
2026-08-11 07:26:12,573,,
2026-08-11 07:26:13,598,,
2026-08-11 07:26:14,597,,
2026-08-11 07:26:15,598,,
2026-08-11 07:26:16,573,,
2026-08-11 07:26:17,595,,
2026-08-11 07:26:18,596,,
2026-08-11 07:26:19,591,,
2026-08-11 07:26:20,576,,
2026-08-11 07:26:21,621,,
2026-08-11 07:26:22,575,,
2026-08-11 07:26:23,593,,
2026-08-11 07:26:24,590,,
2026-08-11 07:26:26,619,,
2026-08-11 07:26:26,576,,
2026-08-11 07:26:28,596,,
2026-08-11 07:26:29,573,,
2026-08-11 07:26:30,616,,
2026-08-11 07:26:31,568,,
2026-08-11 07:26:32,596,,
2026-08-11 07:26:33,574,,
2026-08-11 07:26:34,592,,
2026-08-11 07:26:35,694,,
2026-08-11 07:26:36,595,,
2026-08-11 07:26:37,571,,
2026-08-11 07:26:38,566,,
2026-08-11 07:26:39,548,,
2026-08-11 07:26:40,564,,
2026-08-11 07:26:41,545,,
2026-08-11 07:26:42,567,,
2026-08-11 07:26:43,544,,
2026-08-11 07:26:44,561,,
2026-08-11 07:26:45,546,,
2026-08-11 07:26:46,564,,
2026-08-11 07:26:47,538,,
2026-08-11 07:26:48,559,,
2026-08-11 07:26:49,539,,
2026-08-11 07:26:50,569,,
2026-08-11 07:26:51,540,,
2026-08-11 07:26:53,569,,
2026-08-11 07:26:54,537,,
2026-08-11 07:26:55,564,,
2026-08-11 07:26:56,544,,
2026-08-11 07:26:57,566,,
2026-08-11 07:26:58,450,,
2026-08-11 07:26:59,565,,
2026-08-11 07:27:00,541,,
2026-08-11 07:27:01,562,,
2026-08-11 07:27:02,547,,
2026-08-11 07:27:03,591,,
