"Time","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor1/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor4/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor5/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor6/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor7/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor8/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor9/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor2/Analysis/Diagnosis/prediction""}","edge_to_cloud_latency_ms {host=""d906c09369b6"", name=""fault_diagnosis"", topic=""Enterprise/Site/Area/Motor3/Analysis/Diagnosis/prediction""}"
2026-08-11 20:50:36,474,,,,,,,,,,
2026-08-11 20:50:37,567,,,,,,,,,,
2026-08-11 20:50:38,568,,,,,,,,,,
2026-08-11 20:50:39,570,,,,,,,,,,
2026-08-11 20:50:40,569,,,,,,,,,,
2026-08-11 20:50:41,541,,,,,,,,,,
2026-08-11 20:50:42,563,,,,,,,,,,
2026-08-11 20:50:43,573,,,,,,,,,,
2026-08-11 20:50:44,571,,,,,,,,,,
2026-08-11 20:50:45,568,,,,,,,,,,
2026-08-11 20:50:46,591,,,,,,,,,,
2026-08-11 20:50:47,548,,,,,,,,,,
2026-08-11 20:50:48,568,,,,,,,,,,
2026-08-11 20:50:49,568,,,,,,,,,,
2026-08-11 20:50:50,664,,,,,,,,,,
2026-08-11 20:50:51,576,,,,,,,,,,
2026-08-11 20:50:52,574,,,,,,,,,,
2026-08-11 20:50:53,544,,,,,,,,,,
2026-08-11 20:50:54,563,,,,,,,,,,
2026-08-11 20:50:55,570,,,,,,,,,,
2026-08-11 20:50:57,657,,,,,,,,,,
2026-08-11 20:50:58,569,,,,,,,,,,
2026-08-11 20:50:59,577,,,,,,,,,,
2026-08-11 20:51:00,542,,,,,,,,,,
2026-08-11 20:51:01,565,,,,,,,,,,
2026-08-11 20:51:01,,1510,,,,,,,,1510,
2026-08-11 20:51:02,397,,,,,,,,,,
2026-08-11 20:51:02,,1520,,,,,,,,1520,
2026-08-11 20:51:03,404,,,,,,,,,,
2026-08-11 20:51:03,,1146,,,,,,,,1146,
2026-08-11 20:51:04,488,,,,,,,,,,
2026-08-11 20:51:04,,1067,,,,,,,,1067,
2026-08-11 20:51:05,391,595,,,,,,,,595,
2026-08-11 20:51:06,394,634,,,,,,,,634,
2026-08-11 20:51:07,398,620,,,,,,,,620,
2026-08-11 20:51:08,,633,,,,,,,,633,
2026-08-11 20:51:08,402,,,,,,,,,,
2026-08-11 20:51:09,,622,,,,,,,,622,
2026-08-11 20:51:09,404,,,,,,,,,,
2026-08-11 20:51:10,,665,,,,,,,,665,
2026-08-11 20:51:10,449,,,,,,,,,,
2026-08-11 20:51:11,,610,,,,,,,,610,
2026-08-11 20:51:11,377,,,,,,,,,,
2026-08-11 20:51:12,,599,,,,,,,,599,
