timestamp,device,cpu_percent,rss_mb
2026-08-11 20:51:25,Motor3,0.9,261.1
2026-08-11 20:51:30,Motor3,0.3,261.1
2026-08-11 20:51:35,Motor3,0.3,259.5
2026-08-11 20:51:40,Motor3,0.6,261.0
2026-08-11 20:51:45,Motor3,0.6,261.0
2026-08-11 20:51:50,Motor3,0.6,261.2
2026-08-11 20:51:55,Motor3,0.0,261.2
2026-08-11 20:52:00,Motor3,0.9,261.2
2026-08-11 20:52:05,Motor3,0.6,261.3
2026-08-11 20:52:10,Motor3,0.6,261.3
2026-08-11 20:52:16,Motor3,0.3,261.3
2026-08-11 20:52:21,Motor3,0.9,261.2
2026-08-11 20:52:26,Motor3,0.6,261.2
2026-08-11 20:52:31,Motor3,0.6,261.2
2026-08-11 20:52:31,Motor6,11.9,259.9
2026-08-11 20:52:36,Motor3,0.9,261.2
2026-08-11 20:52:36,Motor6,0.3,260.0
2026-08-11 20:52:41,Motor3,0.0,261.2
2026-08-11 20:52:41,Motor6,0.6,260.3
2026-08-11 20:52:46,Motor3,0.9,261.2
2026-08-11 20:52:46,Motor6,0.6,260.2
2026-08-11 20:52:51,Motor3,0.3,261.2
2026-08-11 20:52:51,Motor6,0.6,261.4
2026-08-11 20:52:56,Motor3,0.6,261.2
2026-08-11 20:52:56,Motor6,0.3,261.4
2026-08-11 20:53:01,Motor3,0.0,261.2
2026-08-11 20:53:01,Motor6,0.9,261.4
2026-08-11 20:53:06,Motor3,0.3,261.2
2026-08-11 20:53:06,Motor6,0.3,261.4
2026-08-11 20:53:11,Motor3,0.0,261.2
2026-08-11 20:53:11,Motor6,0.6,261.4
2026-08-11 20:53:16,Motor3,0.6,261.2
2026-08-11 20:53:16,Motor6,0.3,261.4
2026-08-11 20:53:21,Motor3,0.9,261.2
2026-08-11 20:53:21,Motor6,0.3,261.4
2026-08-11 20:53:26,Motor3,0.3,261.2
2026-08-11 20:53:26,Motor6,0.9,261.3
2026-08-11 20:53:31,Motor3,0.6,261.2
2026-08-11 20:53:31,Motor6,1.5,261.3
2026-08-11 20:53:36,Motor3,0.9,261.2
2026-08-11 20:53:36,Motor6,0.6,261.3
2026-08-11 20:53:36,Motor9,11.9,259.8
2026-08-11 20:53:41,Motor3,0.9,261.2
2026-08-11 20:53:41,Motor6,0.9,261.3
2026-08-11 20:53:41,Motor9,0.6,259.8
2026-08-11 20:53:47,Motor3,0.3,261.2
2026-08-11 20:53:47,Motor6,0.9,261.3
2026-08-11 20:53:47,Motor9,0.3,259.8
2026-08-11 20:53:52,Motor3,0.9,261.2
2026-08-11 20:53:52,Motor6,0.6,261.3
2026-08-11 20:53:52,Motor9,0.6,260.6
2026-08-11 20:53:57,Motor3,0.6,261.2
2026-08-11 20:53:57,Motor6,0.3,261.3
2026-08-11 20:53:57,Motor9,0.6,259.2
2026-08-11 20:54:02,Motor3,0.6,261.2
2026-08-11 20:54:02,Motor6,0.6,261.3
2026-08-11 20:54:02,Motor9,0.0,261.2
2026-08-11 20:54:07,Motor3,0.6,261.2
2026-08-11 20:54:07,Motor6,0.3,261.3
2026-08-11 20:54:07,Motor9,0.3,261.2
2026-08-11 20:54:12,Motor3,0.3,261.2
2026-08-11 20:54:12,Motor6,0.3,261.3
2026-08-11 20:54:12,Motor9,0.6,261.2
2026-08-11 20:54:17,Motor3,0.6,261.2
2026-08-11 20:54:17,Motor6,0.6,261.3
2026-08-11 20:54:17,Motor9,0.6,261.2
2026-08-11 20:54:22,Motor3,16.1,441.9
2026-08-11 20:54:22,Motor6,0.3,261.3
2026-08-11 20:54:22,Motor9,0.9,261.2
2026-08-11 20:54:27,Motor3,0.6,261.0
2026-08-11 20:54:27,Motor6,0.6,261.3
2026-08-11 20:54:27,Motor9,0.6,261.2
2026-08-11 20:54:32,Motor3,0.6,261.0
2026-08-11 20:54:32,Motor6,0.9,261.3
2026-08-11 20:54:32,Motor9,0.9,261.1
2026-08-11 20:54:37,Motor3,0.6,261.0
2026-08-11 20:54:37,Motor6,0.3,261.3
2026-08-11 20:54:37,Motor9,0.9,261.1
2026-08-11 20:54:42,Motor3,0.6,261.0
2026-08-11 20:54:42,Motor6,0.6,261.3
2026-08-11 20:54:42,Motor9,0.9,261.1
2026-08-11 20:54:47,Motor3,0.9,261.0
2026-08-11 20:54:47,Motor6,0.3,261.3
2026-08-11 20:54:47,Motor9,0.6,261.1
2026-08-11 20:54:52,Motor3,0.3,261.0
2026-08-11 20:54:52,Motor6,0.6,261.3
2026-08-11 20:54:52,Motor9,0.3,261.1
2026-08-11 20:54:57,Motor3,1.2,261.0
2026-08-11 20:54:57,Motor6,0.6,261.3
2026-08-11 20:54:57,Motor9,0.3,261.1
2026-08-11 20:55:02,Motor3,0.3,261.0
2026-08-11 20:55:02,Motor6,0.6,261.3
2026-08-11 20:55:02,Motor9,0.6,261.1
2026-08-11 20:55:07,Motor3,0.6,261.0
2026-08-11 20:55:07,Motor6,0.6,261.3
2026-08-11 20:55:07,Motor9,0.3,261.1
2026-08-11 20:55:12,Motor3,0.6,261.0
2026-08-11 20:55:12,Motor6,0.0,261.3
2026-08-11 20:55:12,Motor9,0.6,261.1
2026-08-11 20:55:18,Motor3,0.6,261.0
2026-08-11 20:55:18,Motor6,0.6,261.3
2026-08-11 20:55:18,Motor9,0.6,261.1
2026-08-11 20:55:23,Motor3,0.9,261.0
